Medication Type,Medication,Brand Name,Formulation,Initial Dose Range,Usual Titration,Usual  Dose,Max Titration,Usual Max Dose,Max Dose,Taper,CYP (Metabolized/Inducer/Inhibitor) with weaker effects in parens,Study Dosage,Study 2,Study 3,Notes,Notes 2,Trials/Adverse SE/CI,Refs
Antipsychotic,Olanzapine,Zyprexa,"--Oral Tablet, Extended Release: 50 MG, 150 MG, 200 MG, 300 MG, 400 MG","1.25 [c] - 5mg [aA]-10mg [A, BPM]",2.5mg then 5mg q week [ca],10mg -30mg [aA],,"10mg [BPD,a] - 30mg [aA]",60mg,25% ID q wk - 2 wks; max 50% ID q 3 days,1A2 (2D6)/-/-,"10.7 (4.5) [a,BPM]",16.4 (4.2) [A],,,,,E
Antipsychotic,Haloperidol,Haldol,"--Tab (0.5,1,2,5,10,20mg); Conc (2 mg/mL), IM",0.5mg[c] - 5mg BID [a],0.5mg q week [a],15mg,0.5mg q week (c),,100mg [aA],25% ID q wk - 2 wks; max 50% ID q 3 days,"3A4, 2D6/-/-",,,,,,,E
Antipsychotic,Risperdone,Risperdal,"Oral Disintegrating/Tab: 0.25 mg, 0.5 mg, 1 mg, 2 mg, 3 mg, 4 mg; Liquid 1 mg/mL (30 mL)","0.25mg[c]; 0.5mg[a]; 0.5mg BID[A,mania]","0.25-0.5mg q month[TRD]; q 2 days increase by 1mg (for mania), can pause for week, 1mg q 1-2 days; MAX 0.5mg q week - month (mania)",1mg [a],"1mg q week [ca] ; 0.5mg q 3d - 1mg q day [A, IP]",<2mg [TRD]; 3mg [BPM],6mg[ca] - 8mg [A],25% ID q wk - 2 wks; max 50% ID q 3 days,"2D6,3A4/-/-",2.3 (1.2) [a],1.7 (0.6) [c],,2mg (OCD dose),,,UE
Antipsychotic,Paliperidone ER,Paliperidone,"Tab: 1.5, 3, 6, 9mg",3mg [a],,,3mg q 5 days [a],,6-12mg [a],25% ID q wk - 2 wks; max 50% ID q 3 days,?/?/?,,,,,,,SE
Antipsychotic,Ilioperidone,Fanapt,"Tab: 1 mg, 2 mg, 4 mg, 6 mg, 8 mg, 10 mg, 12 mg",1mg BID,,3-6mg BID [A],"1mg BID for D1, then 2mg BID for D2-3",4mg BID,12mg BID [A],25% ID q wk - 2 wks; max 50% ID q 3 days,"2D6,3A4/?/?",,,,,,,FE
Antipsychotic,Asenapine,Saphris,"SubLing:  2.5 mg, 5 mg, 10 mg",2.5mg BID,2.5mg BID q week-month,2.5-5mg BID,"2.5mg BID for 1st 3d, then 5mg BID",10mg BID,10mg BID,25% ID q wk - 2 wks; max 50% ID q 3 days,1A2/?/?,,,,,,,F
Antipsychotic,Cariprazine,Vraylar,"Capsule: 1.5mg, 3mg, 4.5mg, 6mg",1.5mg ,1.5mg after 1 day; then 1.5mg q week,1.5 - 6mg,6mg,,,25% ID q wk - 2 wks; max 50% ID q 3 days,3A4/?/?,,,,,,,F
,,,,,,,,,,,,,,,,,,
Mood Stabilizer,Lithium carbonate,Lithium IR,"Oral Capsule: 150 MG, 300 MG, 600 MG;Oral Tablet: 300 MG ;Liquid formulation too (citrate)",150mg BID [c] - 300mg BID [aA],Titrate to 900mg within a week (150mg BID q 3 days); blood level to determine effective dose; then 300mg q week,Level 0.8-1.1; 1200-1800mg TDD,300mg q 3 days,1.2 meQ,1800mg (level 1-1.3 mEQ/L),300mg q month; no wdw rxn. 300mg q week [a],renal,0.75(0.4),1.1 (0.3),,600mg-800mg [TRD]. PDR notes ID 300mg TID.,"minimal clinical difference in IR / XR, use XR for GI SE reduction",,
Mood Stabilizer,Lithium carbonate ER,Lithium XR,"Oral Tablet: 300 MG, 450 MG",300 [c] -300mg BID [aA],Titrate to 900mg within a week (150mg BID q 3 days); blood level to determine effective dose; then 300mg q week,Level 0.8-1.1; 1200-1800mg TDD,"after 1 wk to 1mEq/L, after 3 wks to 1.3 mEq/L",1.2 meQ,"900-1800mg (or 1.3 mEq/L); 1.2 - sakolsky, aim 1.0 (don’t' increase past this)",300mg q month; no wdw rxn. 300mg q week [a],renal,0.75(0.4),1.1 (0.3),,300-600mg MDD Aug dose,"used;   minimal clinical difference in IR / XR, use XR for GI SE reduction",,
Mood Stabilizer,Divalproex sodium ER,Depakote ER,"Oral Tablet: 250 MG, 500 MG",250mg [ca] (or max 15mg/kg day),5-10 mg/kg/week,Level 75-125 ug/mL; 1500-2500mg TDD,"start at 250mg TID [ca] to QID [aA], then 500mg q 3 days [A]",125 ug/mL,60 mg/kg (110-125 ug/mL),250mg q month; 500mg q 3 days,,85(36),113 (23),,Needs dosed 10-20% higher than DR,minimal clinical diff in dep er/dr,,
Mood Stabilizer,Divalproex sodium,Depakote DR,"Oral Tablet: 125 MG, 250 MG, 500 MG",350mg BID (or max 15mg/kg day),5-10 mg/kg/week,Level 75-125 ug/mL; 1500-2500mg TDD,"start at 250mg TID [ca] to QID [aA], then 500mg q 3 days [A]",125 ug/mL,60mg/kg,250mg q month; 500mg q 3 days,,,,,,minimal clinical diff in dep er/dr,,
Mood Stabilizer,Carbamazepine IR/XR,Tegretol,"Capsule (Generic: 100 mg, 200 mg, 300 mg), Tablet (Generic: 100 mg, 200 mg, 400 mg)",100mg BID [c] - 200mg BID [a],100mg q week [c] - 200mg q week [aA] ,Level 4-12; 800 - 1200mg TDD,"200mg for 3 days, then 400mg for 5 days, then 600mg , then use blood level. Not dosed bid [A]",1200mg,1000 [c] - 1200 [a] -1600mg [A],200mg q month ;200mg q 3 days aggressive,3A4/1A2;2C19;3A4/-,,,Inducer,Often dosed TID,,,
Mood Stabilizer,Lamotrigine,Lamictal,"Generic: 25 mg, 100 mg, 150 mg, 200 mg",25mg for 2 weeks,"inc to 50mg after 2 weeks, then 50mg q week [a];; 100mg for one week, then 200mg, THEN ONE MONTH, THEN 300MG, THEN ONE MONTH 400MG Package insert information; once at 100mg inc by 50mg q 2 weeks (sak)",150-250mg ,see usual,200mg BID,"300mg [a], 400mg [A]",None - ID50% q week,,"147 [c], 234[a]",,,"(p) 0.3mg/kg for wk 1-2, 0.6mg/kg for wk 3-4, 0.6mg/kg q week till 6 mg/kg or 200mg",,,
None,Oxcarbamazepine,Trileptal,"Tab: 150 mg, 300 mg, 600 mg","75 mg qd [c], 150mg BID [a]",,,,,600mg BID [c],25% q month - 25% 3-5 days,./3A4/.,Ineffective,,,Not effective for psychiatric disorders,,,
None,Topiramate,Topamax,"Tab: 25 mg, 50 mg, 100 mg, 200 mg",,,,,,,50% ID q week for 2 weeks ; 25% q month - 25% q 5 days,renal,Ineffective,,,Not effective for psychiatric disorders,,,
,,,,,,,,,,,,,,,,,,
SNRI,Desvenlafaxine XR,Pristiq,"Oral Tablet, Extended Release: 25 MG, 50 MG, 100 MG",50mg - 200mg [A],50mg q month - 200mg q week[A],50-100mg,200mg q week [A],,400mg [A],"50% ID q week for 2 weeks, then d/c",(3A4)/-/-,50mg MDD Failure [a],200mg [A],,Failed trial,,,
SNRI,Venlafaxine IR,Effexor,"Oral Tablet: 25 MG, 37.5 MG, 50 MG, 75 MG, 100 MG",37.5mg – 37.5 mg BID; 100mg ,100mg after 1 week; then 50mg BID q month,,75mg q 4 days (BID),,375mg (TID),25% ID q week for one month (recommended) OR 50% ID 3 days; then 25% ID for 3d,2D6; 3A4/-/-,,,,,,,H
SNRI,Venlafaxine XR,Effexor,"Oral Tablet, Extended Release: 37.5 MG, 75 MG, 150 MG, 225 MG",37.5 – 75mg,37.5 - 75mg q month (can do up to 150mg over the course of the month),75mg -225mg,37.5mg q wk [a]; 75mg q 4-7 days [A] ; ,300mg [aA],375mg - 450mg; 300mg [a],25% ID q week for one month (recommended) OR 50% ID 3 days; then 25% ID for 3d,2D6;3A4/-/-,204 [a],193 (106) [A]*,,T/c EKG if higher dose,,,H
SNRI,Duloxetine,Cymbalta,"Oral Capsule, Delayed Release: 20 MG, 30 MG, 40 MG, 60 MG",30-60mg,30mg q 2 weeks - 1 month,60-120,30mg q week,120mg,120mg,20mg q 3-5 days (recommended) OR 50% ID 3 days; then 25% ID for 3d,2D6/./(2D6),53.6 [ca],MDD Failure [ca],,,,,
SSRI,Vilazodone,Viibryd,"Tablet: 10,20, 40mg","10mg for 7, then 20mg qd",20mg q 2-4 weeks,20-40mg,20mg q week,,40mg,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",3A4/-/-,Phase 3 [A],MDD Failure [a],,,,,
SSRI,Vortioxetine ,Trintillex,"Tab: 5mg, 10mg, 20mg",5mg - 10mg,10mg q month,20mg,10mg q week - month,,20mg,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",2D6/-/-,,,,,,,
SSRI,Fluvoxamine IR,Luvox IR,"Oral Tablet: 25 MG, 50 MG, 100 MG",25mg [c] - 50mg qhs,,100mg - 300mg [aA],"25mg [ca] - 50mg q week to month [aA]; titration schedule to 100-200mg, then wait 3-4 weeks before increasing further",,"150mg BID, 225mg BID","50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week","2D6/./1A2, 2C19, (3A4, 2C9)",92.8 [c],,,,,,S
SSRI,Fluvoxamine XR,Luvox XR,"Oral Capsule, Extended Release: 100 MG, 150 MG",50-100mg qhs,50mg q week,100mg - 300mg [aA],"25mg [ca] - 50mg q week [aA]; titration schedule to 100-150mg, then wait 3-4 weeks before increasing further",200mg,"150mg BID, 225mg BID","50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week","2D6/./1A2, 2C19, (3A4, 2C9)",,,,,,,S
SSRI,Paroxetine IR,Paxil IR,"Oral Tablet: 10 MG, 20 MG, 30 MG, 40 MG",5MG - 10mg -20 mg,5mg -10mg q month,20-60mg,10mg q week,,20mg BID - 30mg BID,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",2D6/./2D6,MDD Failure [a],,,,,,S
SSRI,Paroxetine CR,Paxil Cr,"Oral Tablet, Extended Release: 12.5 MG, 25 MG, 37.5 MG","10mg for 7d, then 20mg qd [a]; 20mg qd [A]",,,20mg q month; 12.5mg q week [A],,75mg,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",2D6/./2D6,,,,Withdrawal/BB,Not really used,,S
SSRI,Citalopram,Celexa,"Oral Tablet: 10 MG, 20 MG, 40 MG",10mg - 20mg,5 q week (5->10->20) to 2 weeks,20-40,20mg q week,40mg,40 – 60mg (w/ EKG); but usually switch to Lexapro after 40mg,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",2C19;2D6;3A4/-/-,24mg [ca],MDD Failure [a],,QTc c/o,,,S
SSRI,Escitalopram,Lexapro,"Oral Tablet: 5 MG, 10 MG, 20 MG",5mg - 10mg,"5mg for one week, then 10mg for 3 weeks, then increase by 10mg q 2-4 wks; as slow as 5mg q month",10-20mg,10mg q  week [A]; 10mg q 3 wks [ca],40mg,20 – 60mg,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",2C19;2D6;3A4/-/-,10-20mg [ca],10-20mg [ca],,,,OCD 60mg [a],S
SSRI,Sertraline,Zoloft,"Oral Tablet: 25 mg, 50 mg, 100 mg; Concentrate 20mg/mL",25mg-50mg,25 mg q wk for first four weeks ; then 50mg q 2 wks - month,100-200,"3 days at 25mg, then 50mg for 2 wks; then inc 50 mg [a] - 100mg [A] q 2 wks; or 50mg q week to 200mg",200mg,"400mg (OCD)/300mg (GAD,MDD)[a, OCD]","50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",3A4 /-/(2D6),133 [cA],133-170 [cA],133 (60) -146(61) [cA],,,OCD 400mg [a],S
SSRI,Fluoxetine,Prozac,"Capsule : 10 mg, 20 mg, 40 mg; Tablet 10mg, 20mg, 60mg; Solution 20mg/5mL",5mg [c] - 10mg [a] - 20mg qd [aA],"10mg for 7 days, then 20mg for 3 weeks; then inc 10mg -20mg q month [aA]",20-40,10 - 20mg q month,60mg,"80mg [Aa], OCD typically",None,2D6/./2D6,34 [a],33 (10) [a],30mg [a],,,,S
SSRI,Trazodone,Trazodone,"Tablet : 50 mg, 100 mg, 150 mg, 300 mg","25-50mg qhs, 100mg [A]","25 q day, 25 mg q 3 days ","200-300mg [DEP], 200mg [sleep]",.,200mg,600mg,"50% ID 3 days; then 25% ID for 3d, then d/c. OR taper over one month by 25% each week",3A4 (many)/-/-,,,,?SRI response blockade,,,H
SNRI,Milnacipran,Savella,,12.5mg,12.5mg for Day 1; 25mg q 2 days till 100mg,100mg,.,.,200mg,25% q 3 days - 2-3mo [ocd/anxiety],,,,,Not US approved,,,
,,,,,,,,,,,,,,,,,,
Anti-Anxiety,Busipirone,Buspar,"Tablet: 5 MG, 7.5 MG, 10 MG, 15 MG, 30 MG",5mg [aug] - 7.5mg BID,5mg [aug] for first week; then 5mg q 3d or 5mg BID q week,30mg BID,5mg q3d,15-30mg BID,60mg,None,3A4/?/?,,,,,,,UP
Anti-Anxiety,Pregabalin,Lyrica,"Capsule: 25 mg, 50 mg, 75 mg, 100 mg, 150 mg, 200 mg, 225 mg, 300 mg; Tablet ER  82.5 mg, 165 mg, 330 mg; Solution 20 mg/mL ",25mg BID - 75mg BID,75mg - 225mg BID q week,150-600mg TDD,75mg BID q week,150mg BID - 300mg BID,600mg TDD,"1 week taper (e.g. 50% ID for 4 days, then 25 ID for 3d then d/c)",,,,,https://ajp.psychiatryonline.org/doi/full/10.1176/appi.ajp.160.3.533?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub%3Dpubmed&,,,UF
Anti-Anxiety,Hydroxyzine,Vistaral/Atarax,"Capsule/Tablet: 25 mg, 50 mg, 100 mg; Solution 25mg/mL",25-50mg q 6 hr prn,50mg q 6 hrs prn every week,50mg q 6 hrs prn (QID),,100mg q 4 hrs prn,,None,,,,,,,,E
Anti-Anxiety,Clonazepam,Klonopin,"Tablet: 0.5 mg, 1 mg, 2 mg; ODT 0.125 mg, 0.25 mg, 0.5 mg, 1 mg, 2 mg",0.25mg BID [aA] - 0.5mg TID prn [A],0.5mg TID prn q week,1mg TID prn [A],0.25mg BID q 3 days [aA],4mg [aA],,0.125mg BID q 3 days; 0.5mg q week - month; 25% q 2 weeks,,,,,,,,U
Anti-Anxiety,Diazepam,Valium,"Tablet: 2 mg, 5 mg, 10 mg",2mg BID - 5mg qd,5mg q week,20mg TDD,5mg qd after Day 3,10mg QID,15mg TID,Caution - slower taper rec'd: 25% q 2 weeks (<20mg) OR 2mg q 3 days,"2C19, 3A4/-/-",20 (12) [A],,,Gepirone and Diazepam in Generalized Anxiety Disorder: A Placebo-Controlled Trial ,,,
Anti-Anxiety,Lorazepam,Ativan,"Tablet: 0.5 mg, 1 mg, 2 mg;",1mg BID [aA] - 0.5mg TID prn,0.5mg TID prn q week,3mg BID; 1 mg TID,,,,Caution - slower taper rec'd: 0.5mg q week - month OR 25% q 2 week,3A4/-/-,,,,,,,
Anti-Anxiety,Alprazolam,Xanax,"Tablet/Disintegrating: 0.25 mg, 0.5 mg, 1 mg, 2 mg",0.5mg TID,0.5mg TID prn q week,1mg TID,,4mg [aA],,Caution - slower taper rec'd: 0.5mg q week - month OR 25% q 2 week,3A4/-/-,,,,,,,
Anti-Anxiety,Propanolol (hydrochloride),Inderral,"Tablet:10 mg, 20 mg, 40 mg, 60 mg, 80 mg",10-20mg qd,10mg q week,10-20mg BID,10-20mg BID ,20mg BID (for lithium tremors),,Taper over 1-2 weeks ,,,,,,,,P
Anti-Anxiety,Gabapentin,Neurontin,"Cap: 100mg, 300mg, 400mg; Tab 600mg, 800mg; Soln available",100mg ,100mg in pm q 3 days;then 100mg TID after 3 days; 100mg TID q week [A],600mg TID,1200mg TID,600mg TID,1200mg TID,Taper over 1-4 wks depending on dose (900mg - 3600mg),,https://ovidsp.tx.ovid.com/sp-3.33.0b/ovidweb.cgi?QS2=434f4e1a73d37e8c8674b6b8bf1aa3ca7a93dc35c12ccad758a15a6ad229f5e7c75766ed4c118992028b2c52ae8f22905623e518b07cfd9d30e987f9f0645aa75eaad9d4ae50dcd845e9e8fbab425d7086f7550904fc14bcc3350a4fafe8d9da288649425a2754618bd0e8468edc56db96594e2ec84056aa86c23ff02f751c95ca83df58f9ef0d2c488fbf981c9d4f634fa76730525f8f8d9d11651425759af652128358417571dd5828bf66ea83d64e619bee231a04f6f1eb06e0e801b5a0dffbbcc5c9191ed949ed74ed67f961ae01820a0ce89f5197bf6924b5631ba43d9ebfe88f16a2eee8e068c4ea1226316fc3a40c9d54891d4ccade4610a428121c26,,,"Low evidence: Tx for anxiety, RLS, periodic leg movements.",https://bmjopen.bmj.com/content/bmjopen/9/2/e023296.full.pdf,,v
,,,,,,,,,,,,,,,,,,
Anti-depressant Augmentation,Triiodothyronine (T3),,"Tablet: 5mcg, 25mcg, 50mcg",25 mcg,25mcg q 2-4 wks,25-50,25mcg q2 weeks,,50-75mcg,None,,,,,,,Abnormal Hormonal axis,S
Anti-depressant,Mirtazepine,Remeron,"Tablet: 7.5 MG, 15 MG, 30 MG, 45 MG",15mg,15mg q week - month,15-45,15mg q 5 days,,60mg,None,1A2/-/-,"32.8 (a, O)",,,,,,H
Anti-depressant,Wellbutrin IR,Bupropion,"Oral Tablet: 75 MG, 100 MG",100mg BID,,,100mg q week,,450mg (TID),None,?/?/2D6,,,,,,,E
Anti-depressant,Wellbutrin SR,Bupropion,"Oral Tablet, Extended Release, 12 HR: 100 MG, 150 MG, 200 MG",150mg,150mg q month,200-300,150mg q 3-7 days [A],,400mg (BID/TID),None,?/?/2D6,280 (104) [A],,,Max dose 200mg at a given dose with 8 hours in between,"For smoking: 150mg for 3d, then 150mg BID; Cease smoking after 1 wk; Trial 12 wks",,EH
Anti-depressant,Wellbutrin XL,Bupropion,"Oral Tablet, Extended Release, 24 HR: 150 MG, 300 MG",150mg,150mg q month,150-300,150mg q 3-7 days [A],,450mg,None,?/?/2D6,,,,,,,EH
Anti-depressant,Nortryptyline,Pamelor,"Tablet: 10 mg, 25 mg, 50 mg, 75 mg; Solution 10 mg/5 mL ",25-50mg,25mg q 2 wks,75-100 (level),25mg q week,,150mg -200 mg,25mg q week - month,"2D6, 2C19/-/-",Failed pediatric trials,,,3rd Line Tx given severe OD Toxicity. Possible efficacy in adolescents,,,H
Anti-depressant,Amitryptline,Elavil,"Tablet: 10 mg, 25 mg, 50 mg, 75 mg, 100 mg, 150 mg",25-75mg,25mg q week,150-200,50mg q wk,,300mg,25mg q week - month,"2C19,2D6 (1A2)/-/-",Failed pediatric trials,,,3rd Line Tx given severe OD Toxicity. Possible efficacy in adolescents,,,H
Anti-depressant,Desipramine,Norpramin,"Tablet: 10 mg, 25 mg, 50 mg, 75 mg, 100 mg, 150 mg",25-75mg,25mg q week,150-200,50mg q wk,,300mg,25mg q week - month,2D6/-/-,Failed pediatric trials,,,3rd Line Tx given severe OD Toxicity. Possible efficacy in adolescents,,,H
Anti-depressant,Imipramine,Tofranil,"Capsule: 75 mg, 100 mg, 125 mg, 150 mg; Tablet: 10 mg, 25 mg, 50 mg",25-100mg,25mg q week,150-200,50mg q wk,,300mg,25mg q week - month,"2C19,2D6 (3A4,1A2)/-/2D6",Failed pediatric trials,,,3rd Line Tx given severe OD Toxicity. Possible efficacy in adolescents,,,H
Anti-depressant,Clomipramine,Anafranil,"Capsule: 25 mg, 50 mg, 75 mg",25-50mg,inc to 100mg by 1st mth,150mg,inc to 100mg by first 2 wks,,250mg,25mg q week - month,"2C19,2D6 (1A2)/-/-",Failed pediatric trials,,,3rd Line Tx given severe OD Toxicity. Possible efficacy in adolescents,,,
Anti-depressant,Doxepin,Silenor,"Capsule: 10 mg, 25 mg, 50 mg, 75 mg, 100 mg, 150 mg; Tablet: 3mg, 6mg; Generic 10 mg/mL ",25-75mg,25mg q week,75-150mg,50mg q wk,,300mg,25mg q week - month,,Failed pediatric trials,,,3rd Line Tx given severe OD Toxicity. Possible efficacy in adolescents,,,
Anti-depressant,Phenelzine,Nardil,Tablet: 15 mg,15-45mg,15mg q month,45-60,15mg q 3 weeks,,90mg,None,,,,,Adults,,,S
Anti-depressant,Tranylcypromine,Parnate,Tablet: 10 mg,10-30mg ,10mg q month,30-50,10mg q 2 weeks,,90mg,None,,,,,,,,S
Anti-depressant,Selegeline (transdermal),Emsam,"Capsule/Tablet: 5 mg; Patch: 6mg, 9mg, 12mg",6mg,3mg q month,9mg - 12 mg,3mg q 2 wks,,12mg,None,,,,,,,,S
,,,,,,,,,,,,,,,,,,
Alpha Agonist,Guanfacine,Tenex,"Tablet: 1mg, 2mg (breakable)",0.5mg,0.5mg BID q week,2mg-4mg BID,0.5 mg q 3 days,4mg (F),,0.5mg BID q 3 days,,2.2(0.7)mg,,,,,,FR
Alpha Agonist,Guanfacine XR,Intuniv ,"Tablet 1,2,3,4 mg",1mg [ca],1mg q 2 weeks - 1 month,2mg-4mg qhs,1mg q week,4mg [c] -  7mg [a],,1mg q 3 days,,Phase 3,,,,,High fat meal inc abs 75%,FUS
Hypnotic,Melatonin,,,0.5mg 4 hrs prior to hs OR 3mg qhs,Can increase any rate,,3mg qd ,10mg,,None,,,,,,,Alternative 3mg - 10mg qhs,
